iter	Logloss
0	0.605535075
1	0.5613428924
2	0.5257731607
3	0.498677508
4	0.4823134337
5	0.4732782592
6	0.4688709566
7	0.4632909399
8	0.4607205071
9	0.4586277963
10	0.4565842259
11	0.4546571836
12	0.4514351328
13	0.4460992714
14	0.4440629742
15	0.4427482886
16	0.4415321909
17	0.4402359314
18	0.4387036464
19	0.4375385105
20	0.4349883667
21	0.4326343417
22	0.4317101694
23	0.431239939
24	0.4299262839
25	0.4290467181
26	0.4267338137
27	0.4246051378
28	0.4224631724
29	0.4182666486
30	0.4129900251
31	0.4119594705
32	0.4104068021
33	0.4099984629
34	0.4088177316
35	0.4046071952
36	0.4035001621
37	0.4028485657
38	0.4014563077
39	0.4005147119
40	0.3984879617
41	0.3976529954
42	0.3924268047
43	0.3903064967
44	0.3900177119
45	0.3877242713
46	0.3865661204
47	0.3841942984
48	0.3839522851
49	0.3829461791
50	0.3817494036
51	0.3775019085
52	0.3772733401
53	0.3759078222
54	0.3752972615
55	0.3738123603
56	0.3730115014
57	0.371201478
58	0.3702065227
59	0.3693599288
60	0.3685001874
61	0.3678439709
62	0.3673257523
63	0.3665641879
64	0.3660016403
65	0.364604281
66	0.3639141954
67	0.3638783822
68	0.3634926753
69	0.3616214793
70	0.3607323633
71	0.3596660873
72	0.3594358643
73	0.3588353686
74	0.3586902247
75	0.3583101493
76	0.3570849412
77	0.3559611024
78	0.3552261414
79	0.3542680309
80	0.3527965213
81	0.3525917725
82	0.3515731281
83	0.3512957496
84	0.35080548
85	0.3465889005
86	0.3465773431
87	0.3463458412
88	0.3458746584
89	0.345314826
90	0.3450664773
91	0.3449283202
92	0.3444573138
93	0.3444266581
94	0.3442329286
95	0.3434519579
96	0.3433142547
97	0.3427208547
98	0.3418436915
99	0.3415659837
