iter	Passed	Remaining
0	13	1289
1	26	1298
2	39	1285
3	52	1260
4	66	1254
5	79	1241
6	91	1213
7	104	1202
8	117	1188
9	130	1176
10	143	1158
11	156	1144
12	169	1133
13	182	1118
14	195	1105
15	209	1099
16	214	1047
17	226	1029
18	237	1012
19	248	995
20	260	978
21	273	968
22	284	951
23	289	917
24	300	901
25	311	887
26	322	872
27	333	857
28	344	843
29	355	829
30	366	815
31	377	802
32	388	789
33	399	775
34	410	762
35	421	748
36	431	734
37	442	721
38	453	708
39	465	698
40	476	686
41	487	673
42	500	663
43	513	653
44	526	643
45	537	630
46	548	618
47	558	604
48	569	592
49	579	579
50	590	567
51	602	555
52	613	543
53	624	531
54	635	519
55	646	507
56	657	495
57	668	483
58	678	471
59	689	459
60	700	447
61	711	436
62	722	424
63	733	412
64	743	400
65	754	388
66	765	376
67	775	365
68	786	353
69	797	341
70	808	330
71	818	318
72	829	306
73	840	295
74	851	283
75	862	272
76	872	260
77	883	249
78	894	237
79	906	226
80	917	215
81	927	203
82	939	192
83	950	180
84	961	169
85	971	158
86	982	146
87	993	135
88	1003	124
89	1014	112
90	1025	101
91	1035	90
92	1045	78
93	1056	67
94	1067	56
95	1078	44
96	1089	33
97	1100	22
98	1110	11
99	1121	0
